severity,category,path,line,pattern,snippet
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,528,\bdummy\b,"**Phase 3 Achievement**: Real AI analysis is now implemented with OpenAI GPT-4 and Google Gemini Pro support, replacing the previous dummy keyword-based system."
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,540,\bdummy\b,- ❌ ~~AI uses dummy data~~ - **FIXED**
low,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,5,\bdemo\b,"**Overall Status**: 87% Complete, **READY FOR DEMO**, needs 2 critical fixes for production"
low,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,464,\bdemo\b,**✅ Ready for DEMO/TESTING**:
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,526,\bdemo\b,"The Social Listening Web App is **87% complete** (up from 83%) and **ready for demo/testing**. The codebase is clean, well-structured, and has no fake UI. All core features are functional with real backend APIs and database persistence."
low,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,546,\bdemo\b,"**Current Recommendation**: **APPROVED FOR DEMO**, **NOT APPROVED FOR PRODUCTION** until critical fixes are implemented."
medium,fake_mock_demo,PRODUCTION_READINESS_REPORT.md,39,setTimeout\s*\(,5. Removed all setTimeout() fake saves
low,todo_placeholder,PRODUCTION_READINESS_REPORT.md,254,not implemented,- **Location**: Email/webhook sending not implemented
low,todo_placeholder,PRODUCTION_READINESS_REPORT.md,36,Chưa tích hợp,"2. Audited all Settings tabs - 9/16 working, 7/16 clearly marked as ""Chưa tích hợp"""
medium,fake_mock_demo,project_scanner.py,56,\bdummy\b,"""auth"", ""settings"", ""ai"", ""openai"", ""gemini"", ""dummy"", ""sentiment"""
high,destructive,project_scanner.py,89,TRUNCATE,truncated = len(data) > max_bytes
high,destructive,project_scanner.py,90,TRUNCATE,if truncated:
high,destructive,project_scanner.py,94,TRUNCATE,"return text, (""TRUNCATED"" if truncated else None)"
high,destructive,project_scanner.py,114,TRUNCATE,"lines.append(""... tree truncated ..."")"
medium,fake_mock_demo,backend/.env,25,\bdummy\b,"# AI Provider (openai, gemini, anthropic, deepseek, or dummy)"
medium,fake_mock_demo,backend/.env,26,\bdummy\b,AI_PROVIDER=dummy
high,security_backend,backend/.env,4,debug=True,DEBUG=True
medium,fake_mock_demo,backend/.env.example,26,\bdummy\b,"# Supported providers: dummy, openai, gemini"
medium,fake_mock_demo,backend/.env.example,27,\bdummy\b,"# - dummy: Keyword-based analysis (for testing, no API key required)"
medium,fake_mock_demo,backend/.env.example,30,\bdummy\b,AI_PROVIDER=dummy
low,todo_placeholder,backend/.env.example,36,not implemented,GEMINI_API_KEY=***REDACTED*** Deprecated AI providers (not implemented yet)
high,security_backend,backend/.env.example,4,debug=True,DEBUG=True
high,security_backend,backend/add_columns.py,23,"execute\(\s*f[\""']","cursor.execute(f""ALTER TABLE ai_analysis ADD COLUMN {col_name} {col_type}"")"
medium,fake_mock_demo,backend/test_scheduler.py,15,\bdummy\b,# Add a dummy source
medium,fake_mock_demo,backend/test_schema.py,6,\bdummy\b,# Create dummy group
medium,fake_mock_demo,backend/_smoke_test.py,129,\bfake\b,# Check for fake words in responses
medium,fake_mock_demo,backend/_smoke_test.py,130,\bfake\b,"print(""Checking for fake/simulated content..."")"
medium,fake_mock_demo,backend/_smoke_test.py,135,\bfake\b,"for word in [""giả lập"", ""simulated"", ""fake mention"", ""demo mention""]:"
medium,fake_mock_demo,backend/_smoke_test.py,141,\bfake\b,"print(""  No fake/simulated content detected"")"
medium,fake_mock_demo,backend/_smoke_test.py,121,\bdummy\b,"ai_provider = os.getenv(""AI_PROVIDER"", ""dummy"")"
medium,fake_mock_demo,backend/_smoke_test.py,135,\bdemo\b,"for word in [""giả lập"", ""simulated"", ""fake mention"", ""demo mention""]:"
medium,fake_mock_demo,backend/_smoke_test_final.py,117,\bfake\b,"print(""7. Checking for fake content..."")"
medium,fake_mock_demo,backend/_smoke_test_final.py,122,\bfake\b,"for word in [""giả lập"", ""simulated"", ""fake"", ""demo""]:"
medium,fake_mock_demo,backend/_smoke_test_final.py,127,\bfake\b,"print(""   PASS: No fake content found in any mentions."")"
medium,fake_mock_demo,backend/_smoke_test_final.py,122,\bdemo\b,"for word in [""giả lập"", ""simulated"", ""fake"", ""demo""]:"
low,fake_mock_demo,data/parsed_excel_summary.json,37,sample_data,"""sample_data"": {"
low,fake_mock_demo,data/parsed_excel_summary.json,254,sample_data,"""sample_data"": {"
medium,fake_mock_demo,docs/DEPLOYMENT.md,36,\bdummy\b,"- AI: Pluggable providers (OpenAI, Gemini, DeepSeek, Dummy)"
medium,fake_mock_demo,docs/DEPLOYMENT.md,196,\bdummy\b,# AI Provider (dummy for local testing)
medium,fake_mock_demo,docs/DEPLOYMENT.md,197,\bdummy\b,AI_PROVIDER=dummy
medium,fake_mock_demo,docs/DEPLOYMENT.md,447,\bdummy\b,AI_PROVIDER=dummy
medium,fake_mock_demo,docs/DEPLOYMENT.md,550,\bdummy\b,AI_PROVIDER=dummy
high,security_backend,docs/DEPLOYMENT.md,182,debug=True,DEBUG=True
high,security_backend,docs/DEPLOYMENT.md,546,debug=True,DEBUG=True
high,security_backend,docs/DEPLOYMENT.md,454,print\([^)]*(token|secret|password|env),"- Generate a strong `SECRET_KEY`: `python -c ""import secrets; print(secrets.token_urlsafe(32))""`"
medium,fake_mock_demo,docs/DEPLOYMENT_READY.md,16,\bdummy\b,"- **AI Integration**: Pluggable provider system (OpenAI, Gemini, DeepSeek, Dummy)"
medium,fake_mock_demo,docs/DEPLOYMENT_READY.md,101,\bdummy\b,AI_PROVIDER=dummy
low,todo_placeholder,docs/DEPLOYMENT_READY.md,265,not implemented,3. **File Upload**: Evidence files not implemented (needs storage)
low,todo_placeholder,docs/DEPLOYMENT_READY.md,33,hardcoded,- No hardcoded secrets
medium,fake_mock_demo,docs/PRODUCTION_CHECKLIST.md,112,\bdummy\b,AI_PROVIDER=dummy
low,todo_placeholder,docs/PRODUCTION_CHECKLIST.md,10,hardcoded,- [ ] No hardcoded secrets or API keys
high,security_backend,docs/PRODUCTION_CHECKLIST.md,122,print\([^)]*(token|secret|password|env),"python -c ""import secrets; print(secrets.token_urlsafe(32))"""
low,fake_mock_demo,docs/SCHEDULE_DEMO.md,1,\bdemo\b,# Demo Tính Năng Lập Lịch Quét
medium,fake_mock_demo,pgsql/schema_reference.sql,146,\bdummy\b,"ai_provider     VARCHAR(50),                -- dummy, openai, gemini, phobert"
low,fake_mock_demo,scripts/analyze_excel.py,55,sample_data,"'sample_data': [],"
low,fake_mock_demo,scripts/analyze_excel.py,76,sample_data,analysis['sample_data'].append(row_data)
low,fake_mock_demo,scripts/analyze_excel.py,160,sample_data,'sample_data': {
low,fake_mock_demo,scripts/analyze_excel.py,162,sample_data,'rows': sheet_data['sample_data']
low,fake_mock_demo,scripts/analyze_excel.py,199,sample_data,if sheet_data['sample_data']:
low,fake_mock_demo,scripts/analyze_excel.py,204,sample_data,for row in sheet_data['sample_data'][:3]:  # Show first 3 rows
low,todo_placeholder,scripts/audit_settings_complete.py,112,not implemented,"""Frontend preview only, backend endpoint not implemented"")"
low,todo_placeholder,scripts/audit_settings_complete.py,355,not implemented,"""Config UI exists, actual sending not implemented"")"
low,todo_placeholder,scripts/audit_settings_complete.py,384,not implemented,"""Config UI exists, actual sending not implemented"")"
high,security_backend,scripts/audit_settings_complete.py,535,print\([^)]*(token|secret|password|env),"print(""❌ Cannot proceed without admin token"")"
high,security_backend,scripts/change_tthgroup_to_viewer.py,63,print\([^)]*(token|secret|password|env),"print(""   Password=***REDACTED***"")"
high,security_backend,scripts/check_who_am_i.py,15,print\([^)]*(token|secret|password|env),"print(""3. Type: localStorage.getItem('access_token')"")"
high,security_backend,scripts/check_who_am_i.py,16,print\([^)]*(token|secret|password|env),"print(""4. Copy the token (without quotes)"")"
high,security_backend,scripts/clean_and_reseed.py,49,"execute\(\s*f[\""']","cursor.execute(f""DELETE FROM {table}"")"
medium,fake_mock_demo,scripts/comprehensive_test.py,3,\bfake\b,"Tests all pages, APIs, and features to identify fake UI and broken functionality"
high,security_backend,scripts/create_admin_remote.py,15,print\([^)]*(token|secret|password|env),"print(f""Password=***REDACTED***'password']}"")"
high,security_backend,scripts/create_admin_remote.py,25,print\([^)]*(token|secret|password|env),"print(f""Password=***REDACTED***'password']}"")"
high,security_backend,scripts/create_admin_remote.py,31,print\([^)]*(token|secret|password|env),"print(f""Password=***REDACTED***'password']}"")"
high,security_backend,scripts/create_admin_simple.py,24,print\([^)]*(token|secret|password|env),"print(f""   Password=***REDACTED***}"")"
high,security_backend,scripts/create_admin_simple.py,28,print\([^)]*(token|secret|password|env),"print(f""\n🔐 Hashing password..."")"
high,security_backend,scripts/create_admin_simple.py,30,print\([^)]*(token|secret|password|env),"print(f""✅ Password hashed!"")"
high,security_backend,scripts/create_admin_simple.py,63,print\([^)]*(token|secret|password|env),"print(f""   Password=***REDACTED***"")"
high,security_backend,scripts/create_admin_simple.py,108,print\([^)]*(token|secret|password|env),"print(f""   Password=***REDACTED***}"")"
high,security_backend,scripts/create_admin_via_api.py,22,print\([^)]*(token|secret|password|env),"print(f""   Password=***REDACTED***}"")"
high,security_backend,scripts/create_admin_via_api.py,119,print\([^)]*(token|secret|password|env),"print(f""   Token=***REDACTED***}..."")"
high,security_backend,scripts/create_admin_via_api.py,146,print\([^)]*(token|secret|password|env),"print(f""   Password=***REDACTED***}"")"
high,security_backend,scripts/create_new_admin.py,67,print\([^)]*(token|secret|password|env),"print(f""\n🔑 Updating password..."")"
high,security_backend,scripts/create_new_admin.py,70,print\([^)]*(token|secret|password|env),"print(f""✅ Password updated!"")"
high,security_backend,scripts/create_new_admin.py,133,print\([^)]*(token|secret|password|env),"print(f""   Token=***REDACTED***}..."")"
high,security_backend,scripts/create_new_admin.py,178,print\([^)]*(token|secret|password|env),"print(f""   Password=***REDACTED***"")"
high,security_backend,scripts/debug_auth_endpoint.py,37,print\([^)]*(token|secret|password|env),"print(f""Token=***REDACTED***}..."")"
high,security_backend,scripts/fix_database_direct.py,34,print\([^)]*(token|secret|password|env),"print('   $env:DATABASE_URL=***REDACTED***""')"
high,security_backend,scripts/fix_enum_case.py,177,"execute\(\s*f[\""']","cursor.execute(f"""""""
high,security_backend,scripts/rbac_summary.py,77,print\([^)]*(token|secret|password|env),"print(""   • POST   /api/admin/users/{id}/reset-password"")"
medium,fake_mock_demo,.kiro/specs/social-listening/design.md,71,\bdummy\b,- Dummy (for testing)
medium,fake_mock_demo,.kiro/specs/social-listening/requirements.md,63,\bdummy\b,"- **Pluggable_AI_Provider**: An AI service configured via environment variables (dummy, OpenAI, Gemini, DeepSeek, Claude)"
medium,fake_mock_demo,.kiro/specs/social-listening/requirements.md,211,\bdummy\b,"10. THE Platform SHALL support Pluggable_AI_Provider selection (dummy, OpenAI, Gemini, DeepSeek, Claude) configured via environment variables"
medium,fake_mock_demo,.kiro/specs/social-listening/requirements.md,356,\bdummy\b,"1. THE Platform SHALL allow Admins to configure Pluggable_AI_Provider selection (dummy, OpenAI, Gemini, DeepSeek, Claude) via environment variables"
medium,fake_mock_demo,.kiro/specs/social-listening/requirements.md,480,\bdummy\b,"16. THE Platform SHALL support Pluggable_AI_Provider architecture (dummy, OpenAI, Gemini, DeepSeek, Claude) configured via environment variables"
medium,fake_mock_demo,.kiro/specs/social-listening/tasks.md,170,\bdummy\b,- ✅ Implement dummy provider
medium,fake_mock_demo,.kiro/specs/social-listening/tasks.md,534,\bdummy\b,- ✅ AI analysis (dummy provider)
medium,fake_mock_demo,.kiro/specs/social-listening/tasks.md,556,\bdummy\b,- ✅ Dummy AI provider for testing
high,security_backend,backend/app/main.py,78,"allow_origins=\[\""?\*\""?\]","# allow_origins=[""*""] so CORS headers appear even on 500 responses"
high,security_backend,backend/app/main.py,4,CORSMiddleware,from fastapi.middleware.cors import CORSMiddleware
high,security_backend,backend/app/main.py,88,CORSMiddleware,"CORSMiddleware,"
high,destructive,backend/alembic/versions/003_add_service_catalog.py,195,DROP TABLE,# Drop tables
high,security_backend,backend/alembic/versions/012_fix_app_wide_missing_columns.py,28,"text\(\s*f[\""']","op.get_bind().execute(sa.text(f""CREATE TABLE {table_name} (id SERIAL PRIMARY KEY)""))"
high,security_backend,backend/alembic/versions/012_fix_app_wide_missing_columns.py,38,"text\(\s*f[\""']","op.get_bind().execute(sa.text(f""CREATE INDEX IF NOT EXISTS {name} ON {table_name} ({column_name})""))"
high,security_backend,backend/alembic/versions/012_fix_app_wide_missing_columns.py,137,"text\(\s*f[\""']","bind.execute(sa.text(f""UPDATE {table_name} SET {column_name} = 0 WHERE {column_name} IS NULL""))"
high,destructive,backend/alembic/versions/019_fix_roles_table_schema.py,24,DROP TABLE,"op.execute(""DROP TABLE IF EXISTS user_roles CASCADE"")"
high,destructive,backend/alembic/versions/019_fix_roles_table_schema.py,25,DROP TABLE,"op.execute(""DROP TABLE IF EXISTS roles CASCADE"")"
medium,fake_mock_demo,backend/app/api/ai.py,65,\bdummy\b,"# For now, let's check if provider is Dummy"
low,todo_placeholder,backend/app/api/auth.py,119,TODO,"ip_address=None,  # TODO: Get from request"
low,todo_placeholder,backend/app/api/auth.py,120,TODO,"user_agent=None,  # TODO: Get from request"
low,todo_placeholder,backend/app/api/auth.py,349,TODO,# TODO: Get current JTI from token and exclude it
medium,fake_mock_demo,backend/app/api/competitors.py,43,\bmock\b,# Let's use simple wildcard matching on the content for this mock API since matched_keywords is JSON string.
medium,fake_mock_demo,backend/app/api/crawl.py,75,\bdummy\b,"ai_provider=""dummy"","
medium,fake_mock_demo,backend/app/api/monitor.py,5,\bmock\b,Không sử dụng mock data / fake mentions / giả lập.
medium,fake_mock_demo,backend/app/api/monitor.py,5,\bfake\b,Không sử dụng mock data / fake mentions / giả lập.
medium,fake_mock_demo,backend/app/api/monitor.py,76,\bfake\b,"4. Nếu không có nguồn → trả về cảnh báo, KHÔNG tạo fake data"
medium,fake_mock_demo,backend/app/api/monitor.py,878,\bfake\b,"""Lừa đảo / Gian lận"": [""lừa đảo"", ""scam"", ""fake"", ""giả"", ""fraud""],"
medium,fake_mock_demo,backend/app/core/config.py,36,\bdummy\b,"AI_PROVIDER: str = ""dummy""  # dummy, openai, gemini, anthropic, deepseek"
high,security_backend,backend/app/scripts/create_admin.py,47,print\([^)]*(token|secret|password|env),"print(f""   Password=***REDACTED***"")"
high,security_backend,backend/app/scripts/create_admin.py,49,print\([^)]*(token|secret|password|env),"print(""\n⚠️  Please change the password after first login!"")"
medium,fake_mock_demo,backend/app/services/ai_service.py,84,\bfake\b,"'tệ', 'kém', 'dở', 'tồi', 'lừa đảo', 'scam', 'fake', 'giả mạo',"
medium,fake_mock_demo,backend/app/services/ai_service.py,3,\bdummy\b,"Supports multiple AI providers: OpenAI, Gemini, and Dummy (for testing)"
medium,fake_mock_demo,backend/app/services/ai_service.py,66,\bdummy\b,# DUMMY AI PROVIDER (FOR TESTING)
medium,fake_mock_demo,backend/app/services/ai_service.py,71,\bdummy\b,Dummy AI provider using keyword matching
medium,fake_mock_demo,backend/app/services/ai_service.py,287,\bdummy\b,# Fallback to dummy analysis if OpenAI fails and not in production
medium,fake_mock_demo,backend/app/services/ai_service.py,290,\bdummy\b,"raise ValueError(f""OpenAI analysis failed and dummy fallback is disabled in production: {e}"")"
medium,fake_mock_demo,backend/app/services/ai_service.py,291,\bdummy\b,dummy = DummyAIProvider()
medium,fake_mock_demo,backend/app/services/ai_service.py,292,\bdummy\b,"return dummy.analyze_mention(content, title)"
medium,fake_mock_demo,backend/app/services/ai_service.py,435,\bdummy\b,# Fallback to dummy analysis if Gemini fails and not in production
medium,fake_mock_demo,backend/app/services/ai_service.py,438,\bdummy\b,"raise ValueError(f""Gemini analysis failed and dummy fallback is disabled in production: {e}"")"
medium,fake_mock_demo,backend/app/services/ai_service.py,439,\bdummy\b,dummy = DummyAIProvider()
medium,fake_mock_demo,backend/app/services/ai_service.py,440,\bdummy\b,"return dummy.analyze_mention(content, title)"
medium,fake_mock_demo,backend/app/services/ai_service.py,522,\bdummy\b,"raise ValueError(""PhoBERT model is unavailable and dummy fallback is disabled in production."")"
medium,fake_mock_demo,backend/app/services/ai_service.py,523,\bdummy\b,dummy = DummyAIProvider()
medium,fake_mock_demo,backend/app/services/ai_service.py,524,\bdummy\b,"result = dummy.analyze_mention(content, title)"
medium,fake_mock_demo,backend/app/services/ai_service.py,628,\bdummy\b,"raise ValueError(f""PhoBERT analysis failed and dummy fallback is disabled in production: {e}"")"
